id,place_id,name,rating,review_count,latitude,longitude,address,created_at,area
33,ChIJR3v-L-vT1IkRZtZcdZUHfsc,Fitness Element,4.9,118,43.8212818,-79.3344097,"500 Esna Park Dr Unit 6, Markham, ON L3R 1H5, Canada",2/26/2026,Markham
34,ChIJUR2cPwjW1IkRDLW40d-8_e4,Anytime Fitness,3.9,188,43.8927377,-79.2931428,"9580 McCowan Rd, Markham, ON L3P 8M1, Canada",2/26/2026,Markham
35,ChIJd5r5FnTW1IkRez6T8PaDxpE,GoodLife Fitness Markham McCowan and Bullock,3.9,382,43.874315,-79.284773,"200 Bullock Dr, Markham, ON L3P 4J7, Canada",2/26/2026,Markham
36,ChIJ1R3ZBTfU1IkRylBadrQ8fhQ,Markham YMCA,4.2,679,43.852396,-79.3108382,"101 YMCA Blvd, Markham, ON L6G 0A1, Canada",2/26/2026,Markham
37,ChIJsXklsTbU1IkROkiuU4_gqMU,Markham Pan Am Centre,4.6,1593,43.8550789,-79.3089309,"16 Main St Unionville, Markham, ON L3R 0W7, Canada",2/26/2026,Markham
38,ChIJbzd3NhzV1IkRAvy1NIZ92jU,F45 Training Markham,4.9,233,43.8512466,-79.3538996,"3150 Hwy 7 Unit 5a, Markham, ON L3R 5A1, Canada",2/26/2026,Markham
39,ChIJXfe3frnX1IkRFbo0E_toZXI,Anytime Fitness Boxgrove,4.2,218,43.8670134,-79.2309039,"72 Copper Creek Dr, Markham, ON L6B 0P2, Canada",2/26/2026,Markham
40,ChIJNaH-_3nW1IkRYBv61qEVfuY,GoodLife Fitness For Women,3.9,614,43.8680304,-79.2883436,"Markville Shopping Centre, 5000 Hwy 7, Markham, ON L3R 4M9, Canada",2/26/2026,Markham
55,ChIJ87IMn5_V1IkRfdoBfvx4Y6M,Can Sports Center,4,266,43.8336114,-79.3153916,"1443 Denison St, Markham, ON L3R 5V2, Canada",2/26/2026,Markham
58,ChIJ2em5LoDU1IkRrG_k33qYgiw,Mayfair Clubs - East,3,36,43.8260635,-79.3375948,"160 Esna Park Dr, Markham, ON L3R 1E3, Canada",2/26/2026,Markham
62,ChIJ829hWH_U1IkRNhlUdoE5c2s,Reformfit Markham,4,65,43.8240694,-79.3302727,"85 Ferrier St Unit 3, Markham, ON L3R 2Y9, Canada",2/26/2026,Markham
63,ChIJxS_w-0orK4gRWq55tu7kjn8,Parkway Fitness & Racquet Club,3,80,43.8464575,-79.3815563,"9009 Leslie St, Richmond Hill, ON L4B 4J8, Canada",2/26/2026,Richmond Hill
65,ChIJmwNTNKQqK4gRfD2YxXqJVR4,Orangetheory Fitness - Elgin Mills,4,236,43.9002427,-79.3946141,"10775 Leslie St Unit 405, Richmond Hill, ON L4S 0B2, Canada",2/26/2026,Richmond Hill
71,ChIJrbkr1AfU1IkRUGYrJRrhpvs,Planet Fitness,4,1091,43.82368,-79.30131,"4711 Steeles Ave E, Scarborough, ON M1V 4S5, Canada",2/26/2026,Scarborough
72,ChIJ36QL4LvT1IkRKyr0qn9P1nE,Fit4Less,3,672,43.7996856,-79.3189909,"2900 Warden Ave., Scarborough, ON M1W 2S8, Canada",2/26/2026,Scarborough
73,ChIJaWCnUGTT1IkRmzE_C12TFhw,Mayfair Clubs - Parkway (Markham),4,280,43.8206032,-79.3491959,"50 Steelcase Rd E, Markham, ON L3R 1E8, Canada",2/26/2026,Markham
